blastn_identity	cai_score	gc_delta	srna_density	align_coverage	kmer_deviation	presence_pathogenic	presence_non_pathogenic	pangenome_score	anvio_cluster_score	mean_divergence	flank_conservation_2000bp	marker_score_2000bp	proportion_high_windows	proportion_mid_windows	marker_id
0.0	0.13762896	-0.19455612	-0.20146543	-0.22433957	0.61474323	-0.5294769	-0.51153314	-0.31718186	-0.49820554	-0.030288883	-0.068551034	-0.061691552	0.0	0.0	MARKER_0001
0.0	-0.04022103	-0.3752512	-0.15165873	-0.07270993	-3.1708765	-0.030998558	-0.2073669	-0.37937987	-0.073637806	0.0012094867	-0.1709933	-0.12593906	0.0	0.0	MARKER_0002
0.0	-1.0045117	-0.84138393	-1.2244264	-0.30255067	0.2997556	-0.12731159	0.06283874	0.030534223	-0.47388768	-0.14349025	-0.17519191	-0.15004306	0.0	0.0	MARKER_0003
0.0	-0.12990193	-0.0004537999	0.17176856	-0.074869186	-3.1196644	-0.42465478	-0.15507233	-0.2933774	0.0766322	0.044265106	-0.1402434	-0.082897894	0.0	0.0	MARKER_0004
0.0	-0.20531763	0.018324384	0.12073936	-0.03811489	0.62827456	-0.101021215	-0.6350911	-0.18736018	0.12929517	0.08199619	-0.05297013	-0.08119743	0.0	0.0	MARKER_0005
0.0	-0.103710204	0.34912464	0.337396	-0.032936163	0.79886436	-0.08436605	-0.5123289	-0.14697221	0.27141988	0.054930493	-0.051399615	-0.063705504	0.0	0.0	MARKER_0006
0.0	-0.38108456	-0.07566763	0.23529656	0.33862084	0.6913279	-0.16222252	-0.32311192	-0.108426556	0.043210942	0.099154145	0.42431393	0.67677826	0.0	0.0	MARKER_0007
0.0	-0.26603118	-0.3174125	0.113841966	-0.07768713	-2.179957	-0.61087745	-0.32575125	-0.21239224	-0.08839383	-0.071475044	0.64330417	0.70507747	0.0	0.0	MARKER_0008
0.0	-0.54023874	0.032502238	-0.35226056	0.2678753	0.10149919	-0.118768916	-0.10418253	0.034541883	-0.30531678	0.014098413	0.4205641	0.39875206	0.0	0.0	MARKER_0009
0.0	-0.5547174	0.3191626	-0.21702522	-0.08916956	0.09263506	0.41327098	0.04942388	0.13331121	-0.071404785	-0.01180378	0.6037488	0.6377664	0.0	0.0	MARKER_0010
0.0	-0.6697489	-0.31096095	-0.40039665	-0.07983389	0.32808945	-0.15275417	-0.6947596	-0.16755417	0.13031168	0.0880195	-0.06726227	-0.098407656	0.0	0.0	MARKER_0011
0.0	2.263833	-0.11898163	-0.2072907	-0.0027492037	0.67670244	0.014725933	-0.066407904	-0.06448281	0.3969452	0.054022435	-0.08347243	-0.024445921	0.0	0.0	MARKER_0012
0.0	-0.6203581	-0.34062323	-0.06929006	-0.07325516	-1.4157926	-0.06654876	-0.56294453	-0.23405166	-0.04603651	0.0011769256	-0.137107	-0.13479882	0.0	0.0	MARKER_0013
0.0	-0.776555	-0.908353	-1.6102588	-0.24601573	0.23893055	-0.11414171	0.08041712	-0.07259556	-0.05005198	-0.13249476	-0.07411166	0.22390026	0.0	0.0	MARKER_0014
0.0	-0.031741273	0.35349464	0.4662578	-0.07029934	0.22195102	0.13168468	0.1923098	-0.033889715	-0.51679	-0.052580163	-0.057424936	0.59483236	0.0	0.0	MARKER_0015
0.0	-0.44692615	-0.94643706	0.37799335	-0.114245966	0.067363	0.056587737	0.16951495	0.12994798	-0.5563886	-0.07069397	-0.09121372	0.3168512	0.0	0.0	MARKER_0016
0.0	0.28858274	0.17489968	0.26212823	-0.039342195	0.086572945	0.10894847	0.22055632	0.28417918	-0.4099383	-0.038239688	-0.05214537	0.5019013	0.0	0.0	MARKER_0017
0.0	0.17157616	-1.0412434	-0.8398935	-0.07948287	0.41492277	-0.12544346	-0.06740047	0.06812559	-0.11922203	-0.098830104	-0.081707254	0.23758544	0.0	0.0	MARKER_0018
0.0	0.2895799	-0.40557364	-0.48299527	-0.084789164	-1.3747274	-0.086875066	0.09715668	-0.13863702	0.60343164	-0.11846562	-0.07772959	0.32039875	0.0	0.0	MARKER_0019
0.0	1.7296952	-0.5075822	-0.095311865	0.005624344	0.66719174	-0.08818925	0.13920185	0.10772131	0.57530683	-0.101112746	-0.12643805	0.19835061	0.0	0.0	MARKER_0020
0.0	-0.5229365	-0.18262187	0.14387299	-0.054376204	-2.2751625	-0.5062274	-0.49393448	-0.2130114	0.1811129	-0.02616085	-0.1416199	-0.22111496	0.0	0.0	MARKER_0021
0.0	-0.18505132	-0.24366064	-0.47358304	-0.08665153	0.5094835	-0.6031251	-0.0002539428	-0.22647403	-0.51646876	-0.23639254	-0.09546842	-0.10736027	0.0	0.0	MARKER_0022
0.0	-0.08785766	0.023776904	-0.43181148	-0.21352527	0.5811217	-0.21200152	-0.054212816	-0.057108898	-0.23744988	-0.2583611	-0.09805761	-0.22551459	0.0	0.0	MARKER_0023
0.0	-0.63171345	0.03223179	-0.5490088	-0.05196987	0.17477827	-0.15369765	0.085769735	-0.046789695	-0.33851343	-0.1666507	-0.17494239	-0.16933829	0.0	0.0	MARKER_0024
0.0	-0.7174032	-0.045964096	-0.39147672	0.24102637	0.5282589	-0.06027946	0.0040192013	-0.0028989385	-0.4763583	-0.25989828	-0.13194205	-0.27858472	0.0	0.0	MARKER_0025
0.0	0.1862433	-0.29393503	0.056495927	0.0027307821	-3.2651758	-0.056135517	0.14712594	0.010069951	-0.08417253	-0.08590182	-0.21023431	-0.17479211	0.0	0.0	MARKER_0026
0.0	0.56474584	0.017730884	0.21538337	0.028520633	0.7303436	-0.026931047	0.21443261	0.10070989	0.050864078	-0.033745687	-0.06513381	-0.09779215	0.0	0.0	MARKER_0027
0.0	0.5152427	-0.06815426	0.26255888	0.0033115926	0.8393705	0.0507028	0.19809258	-0.33119988	0.03294899	-0.03429947	-0.074707784	-0.12914193	0.0	0.0	MARKER_0028
0.0	-0.32595614	-0.07606366	-0.98252505	-0.14353822	-2.8627534	-0.023034766	0.10913625	-0.3035037	-0.40360585	-0.221159	-0.20995967	-0.18595482	0.0	0.0	MARKER_0029
0.0	0.21119832	-0.895451	0.07671025	-0.28661025	0.5656934	-0.24935071	0.20901163	-0.3469073	-0.08967617	-0.11672924	-0.088225156	-0.24051662	0.0	0.0	MARKER_0030
0.0	-0.75949943	0.21912447	-0.5562365	-0.05780486	0.39348602	-0.020703599	-0.091181286	-0.30471787	-0.174715	-0.15828082	-0.14800738	-0.20730612	0.0	0.0	MARKER_0031
0.0	-0.6401937	0.7586835	-0.00065450626	-0.0027729971	0.28019387	-0.24707389	0.000645807	0.073250644	-0.30344796	-0.06710339	-0.14258565	-0.2324981	0.0	0.0	MARKER_0032
0.0	0.43804815	0.014876331	0.22920743	0.06637739	0.83738214	-0.14929652	0.0261399	0.13484097	-0.22092165	-0.06169267	-0.11978667	-0.13438384	0.0	0.0	MARKER_0033
0.0	0.23336285	-0.19580455	-0.015767692	-0.06192149	-3.2117498	0.011519	0.05718264	-0.33505204	-0.64235604	-0.092720546	-0.20787644	-0.15303393	0.0	0.0	MARKER_0034
0.0	-0.5093452	-0.6996273	-1.1241224	-0.29604056	0.49191815	-0.08730099	-0.024176462	-0.16574903	-0.012677056	-0.09909873	-0.07712577	-0.12804866	0.0	0.0	MARKER_0035
0.0	-0.4524979	-0.34127507	-1.5934063	-0.17983706	0.4144288	-0.10146556	0.13696665	0.08126735	-0.42231184	-0.02187396	-0.052463744	-0.12426131	0.0	0.0	MARKER_0036
0.0	-0.009087095	-0.34527767	0.086311504	-0.07107851	-3.088424	-0.0017730875	-0.00082546007	-0.3549953	0.07953919	-0.07219034	-0.12487666	-0.22509833	0.0	0.0	MARKER_0037
0.0	-0.49327043	-0.2092749	0.1956135	-0.08226914	-3.050998	0.17878872	0.12245172	0.012982482	-0.04408838	0.18309242	-0.069317155	0.11095262	0.0	0.0	MARKER_0038
