COG14_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_COMMENSAL	p_PATHOGEN	N_COMMENSAL	N_PATHOGEN
tRNA A58 N-methylase Trm61	28.576900150399958	9.005006583614794e-8	2.50789433353672e-4	COMMENSAL	COG2519	GC_00004308	0.7333	0.0645	30	31
Prophage antirepressor	25.68941282608492	4.0102104341054326e-7	4.0192165255299966e-4	PATHOGEN	COG3617	GC_00004248, GC_00005674, GC_00005753, GC_00006462, GC_00007337, GC_00007462, GC_00008294, GC_00008402, GC_00009544, GC_00011739, GC_00011869, GC_00012825, GC_00013693, GC_00013801	0.1	0.7419	30	31
Uncharacterized protein YjhX, UPF0386 family	25.54158699934669	4.3294971549694755e-7	4.0192165255299966e-4	COMMENSAL	COG3811	GC_00004254	0.7333	0.0968	30	31
Energy-coupling factor transporter transmembrane protein EcfT	23.973882367394815	9.765141548715223e-7	4.4257696410977967e-4	PATHOGEN	COG0619	GC_00003919, GC_00010378	0.3333	0.9355	30	31
Energy-coupling factor transporter ATP-binding protein EcfA2	23.973882367394815	9.765141548715223e-7	4.4257696410977967e-4	PATHOGEN	COG1122	GC_00003911, GC_00009994	0.3333	0.9355	30	31
Transposase (or an inactivated derivative)	23.973882367394815	9.765141548715223e-7	4.4257696410977967e-4	PATHOGEN	COG3316	GC_00003470, GC_00004239, GC_00004706, GC_00005431, GC_00006034, GC_00006135, GC_00006266, GC_00006917, GC_00007194, GC_00007925, GC_00009211, GC_00012895, GC_00013581	0.3333	0.9355	30	31
Predicted TIM-barrel enzyme	23.246623745046165	1.425003919749541e-6	4.4257696410977967e-4	COMMENSAL	COG0434	GC_00004363, GC_00009995	0.7	0.0968	30	31
ATP-dependent protease ClpP, protease subunit!!!Mu-like prophage major head subunit gpT	23.23958245895694	1.4302307637299882e-6	4.4257696410977967e-4	PATHOGEN	COG0740!!!COG4397	GC_00004530, GC_00005197, GC_00009525	0.0333	0.6129	30	31
Chromosome segregation ATPase!!!Phage-related minor tail protein	23.23958245895694	1.4302307637299882e-6	4.4257696410977967e-4	PATHOGEN	COG1196!!!COG5281	GC_00004425	0.0333	0.6129	30	31
Uncharacterized conserved protein	21.85162622086562	2.945668465832578e-6	8.203686677343729e-4	PATHOGEN	COG1704	GC_00004392, GC_00004978, GC_00005272, GC_00005582, GC_00006416, GC_00008925, GC_00010092, GC_00010171, GC_00010372, GC_00011289, GC_00012987, GC_00013171, GC_00014163	0.3667	0.9355	30	31
Phage-related tail protein	21.080830402708585	4.403109781587886e-6	0.0010218883951435217	PATHOGEN	COG5283	GC_00004389, GC_00005037, GC_00005363, GC_00005782, GC_00006471, GC_00006877, GC_00007930, GC_00008260, GC_00012725, GC_00012847, GC_00013157, GC_00014788, GC_00015159	0.3333	0.9032	30	31
Predicted DNA-binding protein with PD1-like DNA-binding motif	21.080830402708585	4.403109781587886e-6	0.0010218883951435217	PATHOGEN	COG1661	GC_00003913	0.3333	0.9032	30	31
Transposase!!!Transposase	20.22215666008611	6.8949701454480165e-6	0.001379258762856566	PATHOGEN	COG3464!!!COG4584	GC_00003944, GC_00004701, GC_00005396, GC_00006396, GC_00009521, GC_00013543	0.2667	0.8387	30	31
Predicted phage recombinase, RecA/RadA family	20.15111638605846	7.15584699897946e-6	0.001379258762856566	PATHOGEN	COG5471	GC_00004493, GC_00005378, GC_00012718	0.0667	0.6129	30	31
Uncharacterized conserved protein, contains ParB-like and HNH nuclease domains	20.079548513805577	7.428682744290302e-6	0.001379258762856566	PATHOGEN	COG1479	GC_00004246, GC_00006824, GC_00008062, GC_00009785, GC_00010160, GC_00010646, GC_00010960, GC_00011168, GC_00011209, GC_00012644, GC_00013163, GC_00013258, GC_00013407, GC_00014235, GC_00014624	0.2333	0.8065	30	31
WGR domain, predicted DNA-binding domain in MolR!!!Uncharacterized conserved protein YfeS, contains WGR domain	19.035382974028167	1.2831689847975022e-5	0.002233516014163152	COMMENSAL	COG3831!!!COG4884	GC_00004403	0.6333	0.0968	30	31
UDP-galactopyranose mutase	18.77589878830485	1.4701324873674226e-5	0.0024084229278342776	COMMENSAL	COG0562	GC_00005058, GC_00011444	0.4667	0	30	31
DNA modification methylase!!!Adenine specific DNA methylase Mod	18.2216190245513	1.9663414215181975e-5	0.003034817919617725	PATHOGEN	COG0863!!!COG2189	GC_00003754, GC_00012684	0.1667	0.7097	30	31
Phage protein U	18.09176546426902	2.1050985522496923e-5	0.003034817919617725	PATHOGEN	COG3499	GC_00004676, GC_00004772, GC_00005355, GC_00006840, GC_00007238, GC_00008453, GC_00008489, GC_00009793, GC_00010961, GC_00014928	0.3	0.8387	30	31
mRNA-degrading endonuclease (mRNA interferase) YafQ, toxin component of the YafQ-DinJ toxin-antitoxin module	17.953987710849894	2.2630979312175334e-5	0.003034817919617725	COMMENSAL	COG3041	GC_00004103, GC_00007369	0.8	0.2581	30	31
Uncharacterized conserved protein RhaS, contains 28 RHS repeats!!!Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, incolved in TypeVI secretion	17.844316157630992	2.3973427013138223e-5	0.003034817919617725	PATHOGEN	COG3209!!!COG4104	GC_00004168, GC_00005584, GC_00006243, GC_00007534, GC_00008508, GC_00008776	0.2333	0.7742	30	31
Phage regulatory protein Rha	17.844316157630992	2.3973427013138223e-5	0.003034817919617725	PATHOGEN	COG3646	GC_00006303, GC_00006465, GC_00006612, GC_00006624, GC_00007184, GC_00007308, GC_00007459, GC_00007711, GC_00007778, GC_00007866, GC_00007913, GC_00008501, GC_00008794, GC_00009962, GC_00010066, GC_00011481, GC_00013582, GC_00013802	0.2333	0.7742	30	31
5-methylcytosine-specific restriction endonuclease McrBC, GTP-binding regulatory subunit McrB	17.238239546522216	3.297322545067193e-5	0.003992627516527014	COMMENSAL	COG1401	GC_00004795, GC_00014247	0.5	0.0323	30	31
Bacteriophage head-tail adaptor	16.735854551044028	4.2961368318191204e-5	0.0047858964306465	PATHOGEN	COG5614	GC_00003828, GC_00005813, GC_00006725, GC_00006850, GC_00012788	0.1333	0.6452	30	31
Uncharacterized conserved protein, contains ParB-like and HNH nuclease domains!!!Predicted transport protein	16.735854551044028	4.2961368318191204e-5	0.0047858964306465	PATHOGEN	COG1479!!!COG3586	GC_00004074	0.1333	0.6452	30	31
Predicted phosphohydrolase, MPP superfamily	16.50749944830641	4.845802846309756e-5	0.00519060035652795	COMMENSAL	COG1408	GC_00004373	0.6333	0.129	30	31
Hemolysin activation/secretion protein	16.262702462524246	5.513868711208746e-5	0.00550649059603059	PATHOGEN	COG2831	GC_00005196, GC_00005243, GC_00006069, GC_00007320, GC_00008922, GC_00014528	0.1667	0.6774	30	31
Post-segregation antitoxin (ccd killing mechanism protein) encoded by the F plasmid	16.099044559033672	6.011435693102646e-5	0.00550649059603059	PATHOGEN	COG5302	GC_00004174, GC_00004434	0.3333	0.8387	30	31
Phage tail sheath protein FI	16.099044559033672	6.011435693102646e-5	0.00550649059603059	PATHOGEN	COG3497	GC_00004472, GC_00004602, GC_00005359, GC_00006717, GC_00008178, GC_00008312, GC_00008856, GC_00012251, GC_00012731	0.3333	0.8387	30	31
Type III secretory pathway, component EscV	15.987914501276038	6.374813577640858e-5	0.00550649059603059	PATHOGEN	COG4789	GC_00005472, GC_00005483	0	0.4194	30	31
Uncharacterized protein CbrC, UPF0167 family	15.948931714445882	6.507449368002033e-5	0.00550649059603059	COMMENSAL	COG3196	GC_00004045	0.8	0.2903	30	31
Possible nuclease of RNase H fold, RuvC/YqgF family	15.850611434506753	6.854438563017657e-5	0.00550649059603059	PATHOGEN	COG2433	GC_00000065, GC_00011577	0.3	0.8065	30	31
Phage tail tube protein FII	15.850611434506753	6.854438563017657e-5	0.00550649059603059	PATHOGEN	COG3498	GC_00004682, GC_00004717, GC_00005318, GC_00006697, GC_00009108, GC_00009822, GC_00011812, GC_00012981, GC_00013393	0.3	0.8065	30	31
ABC-type hemin transport system, ATPase component	15.779245472607421	7.117905258782808e-5	0.00550649059603059	PATHOGEN	COG4559	GC_00004128, GC_00013403	0.2333	0.7419	30	31
Putative heme degradation protein	15.779245472607421	7.117905258782808e-5	0.00550649059603059	PATHOGEN	COG3720	GC_00004133, GC_00012443	0.2333	0.7419	30	31
ABC-type hemin transport system, periplasmic component	15.779245472607421	7.117905258782808e-5	0.00550649059603059	PATHOGEN	COG4558	GC_00004131, GC_00014051	0.2333	0.7419	30	31
RecA-family ATPase	14.456893364954293	1.4340404533192506e-4	0.010375384358963794	PATHOGEN	COG3598	GC_00006181, GC_00007455, GC_00012744, GC_00013419, GC_00013719	0	0.3871	30	31
Sucrose-6-phosphate hydrolase SacC, GH32 family	14.431929777624978	1.4531744750774457e-4	0.010375384358963794	PATHOGEN	COG1621	GC_00004672, GC_00005666, GC_00009140, GC_00010620, GC_00013731	0.1667	0.6452	30	31
Predicted restriction endonuclease	14.431929777624978	1.4531744750774457e-4	0.010375384358963794	PATHOGEN	COG3440	GC_00004523, GC_00007792, GC_00008805, GC_00010838, GC_00012658, GC_00013168, GC_00013672, GC_00013775, GC_00014850, GC_00015036	0.1667	0.6452	30	31
N6-adenosine-specific RNA methylase IME4	14.384574008763536	1.4901808774095217e-4	0.010375384358963794	PATHOGEN	COG4725	GC_00006829, GC_00006939, GC_00008208, GC_00010121, GC_00013756, GC_00014825	0.0333	0.4516	30	31
Alpha-mannosidase	14.08543116807483	1.7469164053341503e-4	0.011866249241111241	COMMENSAL	COG0383	GC_00003991, GC_00009355	0.8	0.3226	30	31
Large exoprotein involved in heme utilization or adhesion	13.909344815214041	1.9184228837097617e-4	0.012117815819810356	PATHOGEN	COG3210	GC_00005522, GC_00005709, GC_00005783, GC_00006035, GC_00006943, GC_00007090, GC_00007245, GC_00010773	0.1	0.5484	30	31
Type I site-specific restriction endonuclease, part of a restriction-modification system	13.909344815214041	1.9184228837097617e-4	0.012117815819810356	PATHOGEN	COG4096	GC_00004749, GC_00009370, GC_00011741	0.1	0.5484	30	31
Putative heme iron utilization protein	13.87097067835905	1.9579953748347074e-4	0.012117815819810356	PATHOGEN	COG3721	GC_00004126	0.2333	0.7097	30	31
Fic family protein	13.87097067835905	1.9579953748347074e-4	0.012117815819810356	PATHOGEN	COG3177	GC_00004193, GC_00007616	0.2333	0.7097	30	31
Type III secretory pathway, lipoprotein EscJ	13.229591944183543	2.755637959797451e-4	0.016230530924333946	PATHOGEN	COG4669	GC_00004671, GC_00005406	0.1333	0.5806	30	31
ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain	13.229591944183543	2.755637959797451e-4	0.016230530924333946	PATHOGEN	COG2274	GC_00005634, GC_00005669, GC_00006090, GC_00006200, GC_00007156, GC_00009980, GC_00014982	0.1333	0.5806	30	31
Predicted NAD-dependent protein-ADP-ribosyltransferase YbiA, DUF1768 family	13.201425530474285	2.7973626009624033e-4	0.016230530924333946	COMMENSAL	COG3236	GC_00003722, GC_00007670, GC_00012645	0.9333	0.5161	30	31
Uncharacterized conserved protein YegJ, DUF2314 family	12.934712209384491	3.2254482047133374e-4	0.01833239438801356	COMMENSAL	COG3779	GC_00004430	0.5667	0.129	30	31
Adenine-specific DNA methylase	12.743101559604291	3.573246502178217e-4	0.01990298301713267	PATHOGEN	COG0827	GC_00000153, GC_00004461, GC_00005946, GC_00006429, GC_00007548, GC_00007956, GC_00008128, GC_00008858, GC_00012709, GC_00015158	0.5333	0.9355	30	31
N-glycosylase/DNA lyase	12.353959609684797	4.4005215194933866e-4	0.023870597162346817	PATHOGEN	COG4047	GC_00004161, GC_00005865, GC_00010932	0.2	0.6452	30	31
Phage-related minor tail protein	12.310276337922073	4.504712757580343e-4	0.023870597162346817	PATHOGEN	COG5281	GC_00003806, GC_00006937, GC_00015028	0.1	0.5161	30	31
Replicative superfamily II helicase	12.294603394844763	4.542698921380184e-4	0.023870597162346817	COMMENSAL	COG1204	GC_00005154, GC_00013474, GC_00014899	0.4	0.0323	30	31
D-lyxose ketol-isomerase	12.108139866968294	5.020219043432243e-4	0.025891314881405177	PATHOGEN	COG3822	GC_00004443, GC_00006043	0.2333	0.6774	30	31
Type VI protein secretion system component VasK	12.010799542208536	5.289316153768544e-4	0.026389793764603826	PATHOGEN	COG3523	GC_00004766, GC_00004840, GC_00005511, GC_00011744, GC_00014852	0.3333	0.7742	30	31
Cu2+-containing amine oxidase	11.971770328979511	5.401260134436416e-4	0.026389793764603826	COMMENSAL	COG3733	GC_00004088	0.7333	0.2903	30	31
HEAT repeat	11.939406116092323	5.495899599091604e-4	0.026389793764603826	COMMENSAL	COG1413	GC_00003582	0.7	0.2581	30	31
P2-like prophage tail protein X	11.93940611609231	5.49589959909164e-4	0.026389793764603826	PATHOGEN	COG5004	GC_00004938, GC_00004976, GC_00005397, GC_00006722, GC_00008387, GC_00012105, GC_00013553	0.3	0.7419	30	31
Propanediol utilization protein	11.67598892209705	6.331187923071188e-4	0.02820679535348336	PATHOGEN	COG4869	GC_00006207, GC_00006652, GC_00006986	0.0667	0.4516	30	31
Uncharacterized conserved protein, DUF1778 family	11.634359203936201	6.474464310437041e-4	0.02820679535348336	PATHOGEN	COG4453	GC_00004961, GC_00005973, GC_00006357, GC_00008583, GC_00011441, GC_00014887	0.1333	0.5484	30	31
Stress response protein SCP2!!!Uncharacterized protein involved in tellurium resistance	11.574969082006941	6.684554733680079e-4	0.02820679535348336	PATHOGEN	COG2310!!!COG4110	GC_00005284	0	0.3226	30	31
Type III secretory pathway, component EscU	11.574969082006941	6.684554733680079e-4	0.02820679535348336	PATHOGEN	COG4792	GC_00005442	0	0.3226	30	31
Glycosylphosphatidylinositol transamidase (GPIT), subunit GPI8	11.574969082006941	6.684554733680079e-4	0.02820679535348336	PATHOGEN	COG5206	GC_00004500	0	0.3226	30	31
Predicted chitinase	11.574969082006941	6.684554733680079e-4	0.02820679535348336	PATHOGEN	COG3179	GC_00005951, GC_00011005, GC_00011500, GC_00014680	0	0.3226	30	31
Secreted protein containing bacterial Ig-like domain and vWFA domain!!!Stress response protein SCP2	11.574969082006941	6.684554733680079e-4	0.02820679535348336	PATHOGEN	COG2304!!!COG2310	GC_00005332	0	0.3226	30	31
