marker_id	contig	start	end	tier	blastn_identity	cai_score	gc_delta	srna_density	align_coverage	kmer_deviation	presence_pathogenic	presence_non_pathogenic	pangenome_score	anvio_cluster_score	cog_enrichment_score	mean_divergence	flank_conservation_2000bp	marker_score_2000bp	proportion_high_windows	proportion_mid_windows	tier_encoded	label	Cosine_Distance	Delta_CAI
MARKER_0001	NC_002695.2	1	327	MODERATE	100.0	0.649738250898746	7.380733944954123	0.4968553459119497	0.382	0.3724843478547245	1.0	1.0	0.0	0.2892	0.0	0.0	0.5	0.0	0.0	0.0	1	0	1.0	0.0
MARKER_0002	NC_002695.2	15911	18278	MODERATE	100.0	0.6380544761984789	2.14695945945946	0.4200932598558711	1.0	0.0803760753605964	0.9667	0.9667	0.0	0.0333	0.0	0.0	0.5	0.0	0.0	0.0	1	0	0.053298	-0.066178
MARKER_0003	NC_002695.2	23073	24412	MODERATE	100.0	0.5878052764916997	18.63432835820896	0.8091660405709993	1.0	0.2900562463579065	0.5667	0.3333	0.2333	0.2473	0.0	0.757071	0.807056	5.364392	1.0	0.0	1	0	0.363265	-0.207058
MARKER_0004	NC_002695.2	76063	80465	MODERATE	100.0	0.6618887159540383	5.416420622302979	0.2569412835685025	1.0	0.0620120940131295	1.0	0.9667	0.0333	0.0269	0.0	0.0	0.5	0.0	0.0	0.0	1	0	0.069257	-0.032639
MARKER_0005	NC_002695.2	133743	134103	MODERATE	100.0	0.6245160769383152	3.516620498614955	0.3039772727272727	1.0	0.3059824148098118	0.9667	1.0	-0.0333	-0.0323	0.0	0.0	0.5	0.0	0.0	0.0	1	0	0.062126	-0.1059
MARKER_0006	NC_002695.2	133743	134124	DIVERGED	100.0	0.622120938283148	4.473821989528794	0.2868632707774799	1.0	0.312384771295161	0.9667	1.0	-0.0333	-0.0323	0.0	0.0	0.5	0.0	0.0	0.0	2	1	0.062126	-0.1059
MARKER_0007	NC_002695.2	152066	152328	DIVERGED	100.0	0.5723702750727242	2.971482889733842	0.4173228346456692	0.853	0.3256258498649268	0.9667	1.0	-0.0333	-0.0323	0.0	0.958772	0.946301	8.356512	1.0	0.0	2	1	0.114553	-0.116272
MARKER_0008	NC_002695.2	152087	154367	MODERATE	100.0	0.5597547447490722	1.582419991231923	0.317781690140845	1.0	0.06440572579319	1.0	1.0	0.0	0.0484	0.0	0.958772	0.946301	8.356512	1.0	0.0	1	0	0.071658	-0.067538
MARKER_0009	NC_002695.2	155321	156183	MODERATE	100.0	0.582967806022301	5.0770567786790295	0.4707259953161593	0.863	0.1511359052304417	0.2	0.0	0.2	0.2151	0.0	0.958772	0.946301	8.356512	1.0	0.0	1	0	0.199824	-0.126132
MARKER_0010	NC_002695.2	160008	161312	DIVERGED	100.0	0.5842994434563871	4.293103448275865	0.4683641975308642	1.0	0.1102765197610619	0.2333	0.0333	0.2	0.2247	0.0	0.958772	0.946301	8.356512	1.0	0.0	2	1	0.122367	-0.032743
