label	pathotype	n_blocks	n_conserved	n_moderate	n_diverged	total_aligned_bp	pct_conserved
O157H7_EDL933	EHEC	54	53	1	0	5592242	98.15
O157H7_TW14359	EHEC	81	75	5	1	5549035	92.59
O157H7_EC4115	EHEC	77	71	5	1	5507937	92.21
O26H11_11368	EHEC	538	401	124	13	4122987	74.54
O103H2_12009	EHEC	81	75	5	1	5549035	92.59
O111H_11128	EHEC	507	401	92	14	4759370	79.09
O145H28_RM12761	EHEC	361	302	51	8	4819858	83.66
O55H7_CB9615	EHEC	210	146	59	5	5048448	69.52
O104H4_2011C	EHEC	450	344	90	16	4458078	76.44
CFT073	UPEC	516	374	122	20	4063324	72.48
UTI89	UPEC	485	357	108	20	4060838	73.61
536	UPEC	431	329	84	18	3973141	76.33
UMN026	UPEC	414	308	89	17	4430439	74.4
IAI39	UPEC	440	354	75	11	4208326	80.45
NA114	UPEC	545	420	111	14	3995322	77.06
H10407	ETEC	451	352	90	9	4287574	78.05
E24377A	ETEC	386	305	73	8	4332121	79.02
TW11681	ETEC	398	314	71	13	4242807	78.89
042	EAEC	381	308	61	12	4179077	80.84
55989	EAEC	468	356	94	18	4013371	76.07
E2348_69	EPEC	538	401	124	13	4122987	74.54
SE11	EPEC	371	285	75	11	4328404	76.82
IHE3034	NMEC	482	353	106	23	4069625	73.24
CE10	NMEC	477	348	112	17	4382277	72.96
LF82	AIEC	428	323	87	18	3971481	75.47
UM146	AIEC	488	357	111	20	4058504	73.16
K12_MG1655	K12	347	300	40	7	4162860	86.46
K12_W3110	K12	357	309	41	7	4168084	86.55
K12_DH10B	K12	352	303	39	10	4078721	86.08
K12_MDS42	K12	277	251	23	3	3813901	90.61
K12_BW2952	K12	347	300	40	7	4116523	86.46
BL21	LAB_B	370	316	48	6	4072340	85.41
B_REL606	LAB_B	362	302	52	8	4127124	83.43
BL21_DE3	LAB_B	397	342	49	6	4062985	86.15
Nissle1917	PROBIOTIC	462	354	92	16	3997339	76.62
HS	COMMENSAL	371	311	51	9	4089825	83.83
IAI1	COMMENSAL	305	256	43	6	4260711	83.93
ED1a	COMMENSAL	547	366	152	29	4071981	66.91
SE15	COMMENSAL	429	348	70	11	3993642	81.12
ABU83972	COMMENSAL	494	360	112	22	4050562	72.87
ATCC25922	COMMENSAL	503	363	123	17	4098856	72.17
W	LAB_B	334	272	55	7	4279018	81.44
ATCC8739	COMMENSAL	353	294	53	6	4207771	83.29
ATCC11775	COMMENSAL	468	345	109	14	4053502	73.72
SMS_3_5	COMMENSAL	386	290	76	20	4308234	75.13
