marker_id	contig	start	end	length	tier
MARKER_0001	NC_002695.2	1	327	327	MODERATE
MARKER_0002	NC_002695.2	15911	18278	2368	MODERATE
MARKER_0003	NC_002695.2	23073	24412	1340	MODERATE
MARKER_0004	NC_002695.2	76063	80465	4403	MODERATE
MARKER_0005	NC_002695.2	133743	134103	361	MODERATE
MARKER_0006	NC_002695.2	133743	134124	382	DIVERGED
MARKER_0007	NC_002695.2	152066	152328	263	DIVERGED
MARKER_0008	NC_002695.2	152087	154367	2281	MODERATE
MARKER_0009	NC_002695.2	155321	156183	863	MODERATE
MARKER_0010	NC_002695.2	160008	161312	1305	DIVERGED
MARKER_0011	NC_002695.2	171665	172080	416	MODERATE
MARKER_0012	NC_002695.2	173193	173410	218	DIVERGED
MARKER_0013	NC_002695.2	219508	220304	797	MODERATE
MARKER_0014	NC_002695.2	240756	241559	804	MODERATE
MARKER_0015	NC_002695.2	244723	246393	1671	DIVERGED
MARKER_0016	NC_002695.2	249846	253633	3788	MODERATE
MARKER_0017	NC_002695.2	255759	257055	1297	DIVERGED
MARKER_0018	NC_002695.2	267085	270792	3708	MODERATE
MARKER_0019	NC_002695.2	272508	277289	4782	MODERATE
MARKER_0020	NC_002695.2	274701	275065	365	DIVERGED
MARKER_0021	NC_002695.2	282197	291570	9374	MODERATE
MARKER_0022	NC_002695.2	300013	300230	218	MODERATE
MARKER_0023	NC_002695.2	300991	301465	475	MODERATE
MARKER_0024	NC_002695.2	301930	302968	1039	MODERATE
MARKER_0025	NC_002695.2	304382	304806	425	MODERATE
MARKER_0026	NC_002695.2	304902	306303	1402	MODERATE
MARKER_0027	NC_002695.2	305837	306193	357	DIVERGED
MARKER_0028	NC_002695.2	306749	307256	508	DIVERGED
MARKER_0029	NC_002695.2	306763	308471	1709	MODERATE
MARKER_0030	NC_002695.2	309868	310322	455	MODERATE
MARKER_0031	NC_002695.2	310342	310645	304	MODERATE
MARKER_0032	NC_002695.2	315450	315914	465	MODERATE
MARKER_0033	NC_002695.2	318474	318862	389	DIVERGED
MARKER_0034	NC_002695.2	352807	359427	6621	MODERATE
MARKER_0035	NC_002695.2	367956	368187	232	MODERATE
MARKER_0036	NC_002695.2	368440	369427	988	MODERATE
MARKER_0037	NC_002695.2	383848	394161	10314	MODERATE
MARKER_0038	NC_002695.2	438118	446026	7909	MODERATE
MARKER_0039	NC_002695.2	446097	452025	5929	MODERATE
MARKER_0040	NC_002695.2	470323	470691	369	MODERATE
MARKER_0041	NC_002695.2	487974	488549	576	MODERATE
MARKER_0042	NC_002695.2	583317	584236	920	MODERATE
MARKER_0043	NC_002695.2	584521	585734	1214	MODERATE
MARKER_0044	NC_002695.2	588978	589402	425	DIVERGED
MARKER_0045	NC_002695.2	589365	606703	17339	MODERATE
MARKER_0046	NC_002695.2	617058	620822	3765	MODERATE
MARKER_0047	NC_002695.2	618669	620311	1643	DIVERGED
MARKER_0048	NC_002695.2	664591	665883	1293	MODERATE
MARKER_0049	NC_002695.2	668617	671248	2632	MODERATE
MARKER_0050	NC_002695.2	673864	674513	650	DIVERGED
MARKER_0051	NC_002695.2	675118	675939	822	MODERATE
MARKER_0052	NC_002695.2	690627	691856	1230	MODERATE
MARKER_0053	NC_002695.2	718185	723239	5055	MODERATE
MARKER_0054	NC_002695.2	795256	798936	3681	MODERATE
MARKER_0055	NC_002695.2	815591	828985	13395	MODERATE
MARKER_0056	NC_002695.2	826330	828985	2656	DIVERGED
MARKER_0057	NC_002695.2	829199	829456	258	DIVERGED
MARKER_0058	NC_002695.2	892487	892762	276	MODERATE
MARKER_0059	NC_002695.2	901882	904396	2515	MODERATE
MARKER_0060	NC_002695.2	903436	903650	215	DIVERGED
MARKER_0061	NC_002695.2	916724	924512	7789	MODERATE
MARKER_0062	NC_002695.2	925689	926867	1179	MODERATE
MARKER_0063	NC_002695.2	927412	928481	1070	MODERATE
MARKER_0064	NC_002695.2	929329	929640	312	MODERATE
MARKER_0065	NC_002695.2	1028442	1033083	4642	MODERATE
MARKER_0066	NC_002695.2	1046110	1046384	275	MODERATE
MARKER_0067	NC_002695.2	1122773	1127047	4275	MODERATE
MARKER_0068	NC_002695.2	1161652	1165987	4336	MODERATE
MARKER_0069	NC_002695.2	1166898	1169151	2254	MODERATE
MARKER_0070	NC_002695.2	1167497	1167935	439	DIVERGED
MARKER_0071	NC_002695.2	1169894	1170235	342	DIVERGED
MARKER_0072	NC_002695.2	1170414	1170983	570	MODERATE
MARKER_0073	NC_002695.2	1170494	1172170	1677	DIVERGED
MARKER_0074	NC_002695.2	1172536	1172922	387	MODERATE
MARKER_0075	NC_002695.2	1174442	1176700	2259	MODERATE
MARKER_0076	NC_002695.2	1178137	1178613	477	MODERATE
MARKER_0077	NC_002695.2	1179416	1180294	879	DIVERGED
MARKER_0078	NC_002695.2	1179416	1182024	2609	MODERATE
MARKER_0079	NC_002695.2	1184155	1185492	1338	MODERATE
MARKER_0080	NC_002695.2	1189440	1194402	4963	MODERATE
MARKER_0081	NC_002695.2	1194533	1195053	521	MODERATE
MARKER_0082	NC_002695.2	1195938	1202592	6655	MODERATE
MARKER_0083	NC_002695.2	1197560	1199198	1639	DIVERGED
MARKER_0084	NC_002695.2	1199413	1200466	1054	DIVERGED
MARKER_0085	NC_002695.2	1203338	1207895	4558	MODERATE
MARKER_0086	NC_002695.2	1243695	1245336	1642	MODERATE
MARKER_0087	NC_002695.2	1248216	1248805	590	MODERATE
MARKER_0088	NC_002695.2	1249466	1250291	826	MODERATE
MARKER_0089	NC_002695.2	1250367	1250681	315	DIVERGED
MARKER_0090	NC_002695.2	1254966	1255730	765	MODERATE
MARKER_0091	NC_002695.2	1258050	1258437	388	MODERATE
MARKER_0092	NC_002695.2	1262581	1265883	3303	MODERATE
MARKER_0093	NC_002695.2	1263309	1263973	665	DIVERGED
MARKER_0094	NC_002695.2	1266332	1267062	731	MODERATE
MARKER_0095	NC_002695.2	1268393	1268925	533	DIVERGED
MARKER_0096	NC_002695.2	1268393	1268935	543	MODERATE
MARKER_0097	NC_002695.2	1271813	1275325	3513	MODERATE
MARKER_0098	NC_002695.2	1275503	1283838	8336	MODERATE
MARKER_0099	NC_002695.2	1283944	1285452	1509	MODERATE
MARKER_0100	NC_002695.2	1286070	1286278	209	MODERATE
MARKER_0101	NC_002695.2	1286313	1287418	1106	MODERATE
MARKER_0102	NC_002695.2	1287542	1291557	4016	MODERATE
MARKER_0103	NC_002695.2	1291928	1304608	12681	MODERATE
MARKER_0104	NC_002695.2	1292449	1292824	376	DIVERGED
MARKER_0105	NC_002695.2	1305347	1305878	532	MODERATE
MARKER_0106	NC_002695.2	1306263	1306694	432	MODERATE
MARKER_0107	NC_002695.2	1306805	1308328	1524	MODERATE
MARKER_0108	NC_002695.2	1307668	1308572	905	DIVERGED
MARKER_0109	NC_002695.2	1308858	1310178	1321	MODERATE
MARKER_0110	NC_002695.2	1370558	1371962	1405	MODERATE
MARKER_0111	NC_002695.2	1375491	1377687	2197	MODERATE
MARKER_0112	NC_002695.2	1377836	1381671	3836	MODERATE
MARKER_0113	NC_002695.2	1396186	1399607	3422	MODERATE
MARKER_0114	NC_002695.2	1400163	1403768	3606	MODERATE
MARKER_0115	NC_002695.2	1400361	1400758	398	DIVERGED
MARKER_0116	NC_002695.2	1405189	1405425	237	MODERATE
MARKER_0117	NC_002695.2	1418501	1420690	2190	MODERATE
MARKER_0118	NC_002695.2	1423332	1423729	398	MODERATE
MARKER_0119	NC_002695.2	1424638	1424959	322	MODERATE
MARKER_0120	NC_002695.2	1425141	1425887	747	MODERATE
MARKER_0121	NC_002695.2	1425142	1425853	712	DIVERGED
MARKER_0122	NC_002695.2	1427818	1433356	5539	MODERATE
MARKER_0123	NC_002695.2	1429694	1430153	460	DIVERGED
MARKER_0124	NC_002695.2	1437941	1440849	2909	MODERATE
MARKER_0125	NC_002695.2	1438008	1439792	1785	DIVERGED
MARKER_0126	NC_002695.2	1441718	1444639	2922	MODERATE
MARKER_0127	NC_002695.2	1444227	1445279	1053	DIVERGED
MARKER_0128	NC_002695.2	1444997	1447141	2145	MODERATE
MARKER_0129	NC_002695.2	1447247	1451724	4478	MODERATE
MARKER_0130	NC_002695.2	1451740	1452106	367	DIVERGED
MARKER_0131	NC_002695.2	1451740	1456940	5201	MODERATE
MARKER_0132	NC_002695.2	1543599	1546065	2467	MODERATE
MARKER_0133	NC_002695.2	1546181	1546685	505	DIVERGED
MARKER_0134	NC_002695.2	1548756	1549047	292	MODERATE
MARKER_0135	NC_002695.2	1548756	1549325	570	DIVERGED
MARKER_0136	NC_002695.2	1549083	1549660	578	MODERATE
MARKER_0137	NC_002695.2	1549893	1550278	386	MODERATE
MARKER_0138	NC_002695.2	1551100	1556432	5333	MODERATE
