marker_id	contig	start	end	length	k12_strains_with_coverage	absent_from_k12
MARKER_0006	NC_002695.2	133743	134124	382	7	False
MARKER_0007	NC_002695.2	152066	152328	263	7	False
MARKER_0010	NC_002695.2	160008	161312	1305	0	True
MARKER_0012	NC_002695.2	173193	173410	218	7	False
MARKER_0015	NC_002695.2	244723	246393	1671	1	False
MARKER_0017	NC_002695.2	255759	257055	1297	1	False
MARKER_0020	NC_002695.2	274701	275065	365	7	False
MARKER_0027	NC_002695.2	305837	306193	357	7	False
MARKER_0028	NC_002695.2	306749	307256	508	6	False
MARKER_0033	NC_002695.2	318474	318862	389	0	True
MARKER_0044	NC_002695.2	588978	589402	425	0	True
MARKER_0047	NC_002695.2	618669	620311	1643	6	False
MARKER_0050	NC_002695.2	673864	674513	650	2	False
MARKER_0056	NC_002695.2	826330	828985	2656	7	False
MARKER_0057	NC_002695.2	829199	829456	258	7	False
MARKER_0060	NC_002695.2	903436	903650	215	0	True
MARKER_0070	NC_002695.2	1167497	1167935	439	0	True
MARKER_0071	NC_002695.2	1169894	1170235	342	0	True
MARKER_0073	NC_002695.2	1170494	1172170	1677	0	True
MARKER_0077	NC_002695.2	1179416	1180294	879	0	True
MARKER_0083	NC_002695.2	1197560	1199198	1639	0	True
MARKER_0084	NC_002695.2	1199413	1200466	1054	0	True
MARKER_0089	NC_002695.2	1250367	1250681	315	0	True
MARKER_0093	NC_002695.2	1263309	1263973	665	0	True
MARKER_0095	NC_002695.2	1268393	1268925	533	0	True
MARKER_0104	NC_002695.2	1292449	1292824	376	0	True
MARKER_0108	NC_002695.2	1307668	1308572	905	0	True
MARKER_0115	NC_002695.2	1400361	1400758	398	7	False
MARKER_0121	NC_002695.2	1425142	1425853	712	0	True
MARKER_0123	NC_002695.2	1429694	1430153	460	0	True
MARKER_0125	NC_002695.2	1438008	1439792	1785	0	True
MARKER_0127	NC_002695.2	1444227	1445279	1053	4	False
MARKER_0130	NC_002695.2	1451740	1452106	367	0	True
MARKER_0133	NC_002695.2	1546181	1546685	505	0	True
MARKER_0135	NC_002695.2	1548756	1549325	570	0	True
MARKER_0139	NC_002695.2	1555255	1555819	565	0	True
MARKER_0147	NC_002695.2	1594775	1596029	1255	0	True
MARKER_0149	NC_002695.2	1596440	1596779	340	0	True
MARKER_0153	NC_002695.2	1601103	1601676	574	0	True
MARKER_0154	NC_002695.2	1604974	1605632	659	0	True
MARKER_0162	NC_002695.2	1627037	1627422	386	2	False
