label	organism	pathotype	virulence_basis	pmid	gcf_accession	fasta_path	status
O157H7_Sakai	Escherichia coli O157:H7 str. Sakai	EHEC	stx1,stx2,LEE,OI-43,OI-48,eae-gamma	11085612	GCF_000008865.2	/Users/user/bioinformatics/data/genomes/O157H7_Sakai/O157H7_Sakai.fna	OK
O157H7_EDL933	Escherichia coli O157:H7 str. EDL933	EHEC	stx1,stx2,LEE,eae-gamma	11206551	GCF_000006665.1	/Users/user/bioinformatics/data/genomes/O157H7_EDL933/O157H7_EDL933.fna	OK
O157H7_TW14359	Escherichia coli O157:H7 str. TW14359	EHEC	stx2c,LEE,eae-gamma	19710192	GCF_000022225.1	/Users/user/bioinformatics/data/genomes/O157H7_TW14359/O157H7_TW14359.fna	OK
O157H7_EC4115	Escherichia coli O157:H7 str. EC4115	EHEC	stx2,LEE,eae-gamma	21478298	GCF_000021125.1	/Users/user/bioinformatics/data/genomes/O157H7_EC4115/O157H7_EC4115.fna	OK
O26H11_11368	Escherichia coli O26:H11 str. 11368	EHEC	stx1,LEE,eae-beta	19750004	GCA_000026545.1	/Users/user/bioinformatics/data/genomes/O26H11_11368/O26H11_11368.fna	OK
O103H2_12009	Escherichia coli O103:H2 str. 12009	EHEC	stx1,LEE,eae-epsilon	19750004	GCA_000022225.1	/Users/user/bioinformatics/data/genomes/O103H2_12009/O103H2_12009.fna	OK
O111H_11128	Escherichia coli O111:H- str. 11128	EHEC	stx2,LEE,eae-theta	19750004	GCA_000091005.1	/Users/user/bioinformatics/data/genomes/O111H_11128/O111H_11128.fna	OK
O145H28_RM12761	Escherichia coli O145:H28 str. RM12761	EHEC	stx1,stx2,LEE	21909557	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/O145H28_RM12761/O145H28_RM12761.fna	OK
O55H7_CB9615	Escherichia coli O55:H7 str. CB9615	EHEC	stx2,LEE,eae-gamma	23443553	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/O55H7_CB9615/O55H7_CB9615.fna	OK
O104H4_2011C	Escherichia coli O104:H4 str. 2011C-3493	EHEC	stx2,agg,terB	21681909	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/O104H4_2011C/O104H4_2011C.fna	OK
CFT073	Escherichia coli str. CFT073	UPEC	hlyA,papA,papC,fyuA,iutA,sfa	12471157	GCF_000007445.1	/Users/user/bioinformatics/data/genomes/CFT073/CFT073.fna	OK
UTI89	Escherichia coli str. UTI89	UPEC	hlyA,papA,iroN,fyuA,fimH	16513999	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/UTI89/UTI89.fna	OK
536	Escherichia coli str. 536	UPEC	PAI-I-V,hlyA,papA,sfaD,fyuA	16973745	GCF_000013305.1	/Users/user/bioinformatics/data/genomes/536/536.fna	OK
UMN026	Escherichia coli UMN026	UPEC	iroN,iutA,kpsFII,papC,hlyA	19165319	GCF_000026325.1	/Users/user/bioinformatics/data/genomes/UMN026/UMN026.fna	OK
IAI39	Escherichia coli IAI39	UPEC	PAI,fim,kpsFII,iutA	19165319	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/IAI39/IAI39.fna	OK
NA114	Escherichia coli NA114	UPEC	hlyA,papA,iroN,sfa	23012471	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/NA114/NA114.fna	OK
H10407	Escherichia coli ETEC H10407	ETEC	LT,STh,CFA/I,CS3,CS21	20535126	GCF_000210475.1	/Users/user/bioinformatics/data/genomes/H10407/H10407.fna	OK
E24377A	Escherichia coli E24377A	ETEC	LT,STh,CFA/I,CS21	18952895	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/E24377A/E24377A.fna	OK
TW11681	Escherichia coli str. TW11681	ETEC	ST,CS6,EAST1	25002529	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/TW11681/TW11681.fna	OK
042	Escherichia coli str. 042	EAEC	aatA,aaiC,aggR,aafA,irp2	20844578	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/042/042.fna	OK
55989	Escherichia coli 55989	EAEC	aggR,aaiC,aafA,aat	19165319	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/55989/55989.fna	OK
E2348_69	Escherichia coli str. E2348/69	EPEC	LEE,bfpA,eae-alpha,intimin-alpha	19682371	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/E2348_69/E2348_69.fna	OK
E22	Escherichia coli E22	EPEC	LEE,eae,nle-effectors	21423661	ENTREZ_RESOLVED	FAILED	FAILED
SE11	Escherichia coli str. SE11	EPEC	LEE,eae,type-III-secretion	19897727	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/SE11/SE11.fna	OK
IHE3034	Escherichia coli str. IHE3034	NMEC	ibeA,neuC(K1),ompA,kpsMII,fimH	20952596	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/IHE3034/IHE3034.fna	OK
CE10	Escherichia coli O7:K1 str. CE10	NMEC	kpsMII,iutA,iroN,hlyF,iss	22535208	GCF_000227625.1	/Users/user/bioinformatics/data/genomes/CE10/CE10.fna	OK
LF82	Escherichia coli str. LF82	AIEC	fimH-variant,inv,csg,lpfA	20541499	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/LF82/LF82.fna	OK
HM605	Escherichia coli HM605	AIEC	fimH-variant,lpfA,csgA,htrA	19253333	ENTREZ_RESOLVED	FAILED	FAILED
UM146	Escherichia coli str. UM146	AIEC	fimH-variant,lpfA,intracellular-replication	20482583	ENTREZ_RESOLVED	/Users/user/bioinformatics/data/genomes/UM146/UM146.fna	OK
