label	pathotype	ref_start	ref_end	qry_start	qry_end	ref_len	qry_len	identity	ref_contig	qry_contig	tier
O157H7_EDL933	EHEC	1	30058	23211	53268	30058	30058	99.99	NC_002128.1	NC_007414.1	CONSERVED
O157H7_EDL933	EHEC	30694	69516	53269	92077	38823	38809	99.94	NC_002128.1	NC_007414.1	CONSERVED
O157H7_EDL933	EHEC	69517	92721	1	23210	23205	23210	99.97	NC_002128.1	NC_007414.1	CONSERVED
O157H7_EDL933	EHEC	1	304980	1	304980	304980	304980	99.99	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	304957	306835	306835	304957	1879	1879	99.79	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	306811	596503	306811	596505	289693	289695	99.99	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	596504	670692	596197	670386	74189	74190	99.98	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	670600	811738	670381	811520	141139	141140	99.94	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	810704	1056975	812357	1058634	246272	246278	99.94	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1056958	1176695	1146180	1265919	119738	119740	99.91	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1174491	1182023	1636068	1643601	7533	7534	99.55	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1184155	1202505	1903277	1921624	18351	18348	98.74	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1189827	1207192	2137867	2120501	17366	17367	99.49	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1206727	1254679	1291400	1339355	47953	47956	99.68	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1258050	1258518	1343923	1344391	469	469	95.96	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1264283	1264447	1349466	1349630	165	165	98.18	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1264579	1270504	1349762	1355687	5926	5926	99.76	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1271813	1307157	1355682	1391027	35345	35346	99.95	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1307426	1454095	1391025	1537726	146670	146702	99.94	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1370555	1454913	1058578	1142938	84359	84361	99.98	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1454909	1553318	1539853	1638273	98410	98421	99.88	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1551113	1555406	1263715	1268007	4294	4293	99.23	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1575599	1641910	1659434	1725748	66312	66315	99.95	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1648260	1650002	1290822	1292565	1743	1744	96.1	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1648839	1663082	1740485	1754739	14244	14255	99.22	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1663471	1716147	1754739	1807417	52677	52679	99.94	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1715104	1776700	1806908	1868506	61597	61599	99.82	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1787441	1796743	1729750	1739067	9303	9318	98.11	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1796893	1943999	2290421	2143301	147107	147121	99.92	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1942140	1946941	2773033	2768232	4802	4802	98.98	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1944142	1954247	1270145	1280257	10106	10113	99.64	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1949269	1970193	2987875	2966956	20925	20920	97.63	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	1968140	2161571	2120478	1927035	193432	193444	99.91	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	2183689	2184285	1646542	1645946	597	597	91.81	NC_002695.2	NC_002655.2	MODERATE
O157H7_EDL933	EHEC	2184182	2189431	1272241	1266989	5250	5253	98.88	NC_002695.2	NC_002655.2	CONSERVED
